4.2448    -74.649886   492.86163884      "Melgar"    "Tolima"     "Tolemaida Air Base"
4.216442    -74.635047   313.33442474      "Melgar"    "Tolima"     "Melgar Ab Airport"
7.927567    -72.511547   334.06082634      "Cucuta"    "NorteDeSantander"     "Camilo Daza Airport"
4.701594    -74.146947   2548.432820094      "Bogota"    "DistritoCapital"     "Eldorado International Airport"
5.43278    -71.6625   197.8152       "Trinidad"    "Casanare"     "Trinidad Airport"
5.319114    -72.383975   313.33442474      "Yopal"    "Casanare"     "El Yopal Airport"
4.167875    -73.613761   424.89123354      "Villavicencio"    "Meta"     "Vanguardia"
10.435042    -73.249506   147.21841164      "Valledupar"    "Cesar"     "Alfonso Lopez Pumarejo"
5.939044    -74.456967   172.51681364      "PuertoBoyaca"    "Boyaca"     "Velasquez"
0.978767    -76.605558   380.390434      "Villagarzon"    "Putumayo"     "Villa Garzon Airport"
4.088358    -76.235133   954.63367524      "Tulua"    "ValleDelCauca"     "Farfan"
5.690758    -76.641181   62.17920494      "Quibdo"    "Choco"     "El Carano"
7.068881    -70.736925   128.01601014      "Arauca"    "Arauca"     "Santiago Perez"
0.7459    -75.234025   178.30801414      "Solano"    "Caqueta"     "Ernesto Esguerra Cubides AB"
6.451081    -71.760261   320.04002524      "Tame"    "Arauca"     "Tame Airport"
5.541383    -73.344494   2724.91221484      "Tunja"    "Boyaca"     "Tunja Airport"
8.631519    -72.730372   59.13120474      "Tibu"    "NorteDeSantander"     "Tibu Airport"
2.152175    -74.76635   280.41602214      "SanVicenteDelCaguan"    "Caqueta"     "Eduardo Falla Solano"
12.583594    -81.711192   5.79120054      "SanAndres"    "SanAndresYProvidencia"     "Gustavo Rojas Pinilla International (Sesquicentenario)"
5.677319    -72.970294   2485.64419594      "Sogamoso"    "Boyaca"     "Alberto Lleras Camargo"
11.11965    -74.230647   6.70560054      "SantaMarta"    "Magdalena"     "Simon Bolivar"
2.579694    -72.639358   184.40401454      "SanJoseDelGuaviare"    "Guaviare"     "Jorge E. Gonzalez Torres"
11.526222    -72.925958   13.1064014      "Riohacha"    "LaGuajira"     "Almirante Padilla"
6.164536    -75.423119   2119.88416714      "Rionegro"    "Antioquia"     "Jose Maria Cordova International Airport"
5.212556    -74.883647   466.64883684      "Mariquita"    "Tolima"     "Mariquita Airport"
5.876147    -71.886603   274.32002164      "PazDeAriporo"    "Casanare"     "Casanare"
13.356944    -81.35833   3.04800024      "Providencia"    "SanAndresYProvidencia"     "El Embrujo"
1.396247    -77.291478   1813.86481434      "Pasto"    "Narino"     "Antonio Narino"
6.460344    -74.410475   135.63601074      "PuertoBerrio"    "Antioquia"     "Puerto Berrio Airport"
5.483611    -74.657361   172.51681364      "PuertoSalgar"    "Cundinamarca"     "German Olano AB"
2.4544    -76.609319   1733.397613664      "Popayan"    "Cauca"     "Guillermo Leon Valencia"
